Type_1;Type_2
-0.00112368; -0.00999483; 
-0.00112385; -0.0111336; 
-0.00112398; -0.0121058; 
-0.00112408; -0.0128853; 
-0.00112416; -0.0134382; 
-0.00112421; -0.0137361; 
-0.00112425; -0.0137557; 
-0.00112427; -0.0134812; 
-0.00112427; -0.0129226; 
-0.00112427; -0.0120899; 
-0.00112425; -0.0110376; 
-0.00112422; -0.00981496; 
-0.00112418; -0.00846705; 
-0.00112414; -0.00703652; 
-0.0011241; -0.00557315; 
-0.00112405; -0.00412159; 
-0.00112399; -0.00272481; 
-0.00112394; -0.00141979; 
-0.00112389; -0.00023786; 
-0.00112383; 0.000795092; 
-0.00112378; 0.00165826; 
-0.00112373; 0.00233563; 
-0.00112368; 0.00281489; 
-0.00112363; 0.00308716; 
-0.00112359; 0.00314691; 
-0.00112355; 0.00299194; 
-0.00112352; 0.00262342; 
-0.00112349; 0.00204717; 
-0.00112346; 0.00127099; 
-0.00112344; 0.000302867; 
-0.00112342; -0.000839992; 
-0.0011234; -0.00213879; 
-0.00112339; -0.00357365; 
-0.00112338; -0.00508135; 
-0.00112338; -0.00660546; 
-0.00112337; -0.00809606; 
-0.00112337; -0.00950973; 
-0.00112337; -0.0108093; 
-0.00112337; -0.0119591; 
-0.00112338; -0.0129287; 
-0.00112338; -0.0136814; 
-0.00112339; -0.0141858; 
-0.0011234; -0.0144154; 
-0.00112341; -0.0143492; 
-0.00112342; -0.0139756; 
-0.00112343; -0.0133064; 
-0.00112344; -0.0123971; 
-0.00112345; -0.011298; 
-0.00112346; -0.0100546; 
-0.00112347; -0.00870893; 
-0.00112348; -0.00730048; 
-0.00112349; -0.0058664; 
-0.0011235; -0.00445004; 
-0.00112351; -0.00309319; 
-0.00112353; -0.00183176; 
-0.00112354; -0.000696042; 
-0.00112355; 0.000288974; 
-0.00112356; 0.00110333; 
-0.00112357; 0.00173179; 
-0.00112358; 0.00216325; 
-0.00112358; 0.00238991; 
-0.00112359; 0.0024073; 
-0.0011236; 0.00221422; 
-0.00112361; 0.00181282; 
-0.00112362; 0.00120999; 
-0.00112363; 0.00041336; 
-0.00112363; -0.000567228; 
-0.00112364; -0.00171462; 
-0.00112365; -0.00301019; 
-0.00112365; -0.0043914; 
-0.00112366; -0.00580209; 
-0.00112367; -0.00719234; 
-0.00112367; -0.00851853; 
-0.00112368; -0.00974313; 
-0.00112368; -0.0108345; 
-0.00112369; -0.0117617; 
-0.00112369; -0.0124988; 
-0.0011237; -0.0130126; 
-0.0011237; -0.013275; 
-0.00112371; -0.0132631; 
-0.00112371; -0.0129621; 
-0.00112371; -0.0123817; 
-0.00112372; -0.0115749; 
-0.00112372; -0.0105902; 
-0.00112372; -0.00947111; 
-0.00112373; -0.00825733; 
-0.00112373; -0.0069865; 
-0.00112373; -0.00570325; 
-0.00112374; -0.00444743; 
-0.00112374; -0.00325756; 
-0.00112374; -0.00216657; 
-0.00112374; -0.00120211; 
-0.00112375; -0.000386775; 
-0.00112375; 0.000261591; 
-0.00112375; 0.000729638; 
-0.00112375; 0.00100823; 
-0.00112375; 0.00109191; 
-0.00112375; 0.000978414; 
-0.00112376; 0.000668709; 
-0.00112376; 0.00016705; 
-0.00112376; -0.000519889; 
-0.00112376; -0.0013852; 
-0.00112376; -0.00241361; 
-0.00112376; -0.00354522; 
-0.00112376; -0.00472564; 
-0.00112377; -0.00590604; 
-0.00112377; -0.00704332; 
-0.00112377; -0.00810012; 
-0.00112377; -0.00904466; 
-0.00112377; -0.00985058; 
-0.00112377; -0.0104914; 
-0.00112377; -0.0109458; 
-0.00112377; -0.0111972; 
-0.00112377; -0.0112193; 
-0.00112377; -0.0110068; 
-0.00112377; -0.0105627; 
-0.00112377; -0.00989077; 
-0.00112377; -0.0090395; 
-0.00112377; -0.0080527; 
-0.00112378; -0.00697995; 
-0.00112378; -0.00586658; 
-0.00112378; -0.00475353; 
-0.00112378; -0.00368062; 
-0.00112378; -0.00268233; 
-0.00112378; -0.00178796; 
-0.00112378; -0.00102186; 
-0.00112378; -0.000403668; 
-0.00112378; 5.14396e-005; 
-0.00112378; 0.000332503; 
-0.00112378; 0.000432537; 
-0.00112378; 0.000348243; 
-0.00112378; 7.94982e-005; 
-0.00112378; -0.000370589; 
-0.00112378; -0.000996609; 
-0.00112378; -0.00179281; 
-0.00112378; -0.00270768; 
-0.00112378; -0.00368867; 
-0.00112378; -0.00468808; 
-0.00112378; -0.00566344; 
-0.00112378; -0.00657754; 
-0.00112378; -0.00739849; 
-0.00112378; -0.00809953; 
-0.00112378; -0.0086589; 
-0.00112378; -0.00905959; 
-0.00112378; -0.00928345; 
-0.00112378; -0.00931694; 
-0.00112378; -0.00915609; 
-0.00112378; -0.00880455; 
-0.00112378; -0.00826646; 
-0.00112378; -0.00759146; 
-0.00112378; -0.00682508; 
-0.00112378; -0.00600881; 
-0.00112378; -0.00518404; 
-0.00112378; -0.00438743; 
-0.00112378; -0.00365089; 
-0.00112378; -0.00300171; 
-0.00112378; -0.00246265; 
-0.00112378; -0.00205215; 
-0.00112378; -0.00178449; 
-0.00112378; -0.00167005; 
-0.00112378; -0.00171545; 
-0.00112378; -0.0019238; 
-0.00112378; -0.00229487; 
-0.00112378; -0.00280428; 
-0.00112378; -0.00343025; 
-0.00112378; -0.00415345; 
