P;PID;FLC;FLC3
0.0926292;0.00246541;0.0383059;-0.000820156
0.0995707;0.00207569;0.0296764;-0.000339187
0.106152;0.00171478;0.0208266;0.00011012
0.11237;0.00138348;0.0149424;0.000528221
0.118219;0.00108218;0.0117618;0.000915189
0.123698;0.000810929;0.00873611;0.00127097
0.128804;0.000569451;0.00589195;0.0015957
0.133537;0.000357171;0.00323095;0.00188965
0.137895;0.00017326;0.000753417;0.00215326
0.141879;1.66697e-005;-0.0015507;0.00238712
0.145491;-0.000113841;-0.00370775;0.00259193
0.148731;-0.000219668;-0.00571409;0.00276852
0.151602;-0.000302336;-0.00756487;0.0029178
0.154108;-0.000363465;-0.00925604;0.0030408
0.156253;-0.000404747;-0.0107844;0.00313861
0.158039;-0.000427921;-0.0121475;0.0032124
0.159473;-0.000434745;-0.013344;0.00326339
0.16056;-0.000426981;-0.0143733;0.00329286
0.161306;-0.00040637;-0.0152361;0.0033021
0.161718;-0.000374619;-0.015934;0.00329245
0.161803;-0.000333385;-0.0164839;0.0033685
0.161568;-0.00028426;-0.0177678;0.0034926
0.161022;-0.000228762;-0.0188395;0.00361705
0.160172;-0.000168324;-0.0197048;0.00373703
0.159028;-0.00010429;-0.020363;0.00384851
0.1576;-3.79057e-005;-0.0208155;0.00395104
0.155895;2.96842e-005;-0.0210652;0.00403934
0.153925;9.74382e-005;-0.0211161;0.00411162
0.1517;0.000164419;-0.0209741;0.0041669
0.149229;0.000229796;-0.0206459;0.00371296
0.146525;0.000292838;-0.0187281;0.00321842
0.143596;0.000352919;-0.0165992;0.00274465
0.140455;0.000409508;-0.0143635;0.0023012
0.137113;0.000462169;-0.0120614;0.0019003
0.133581;0.000510558;-0.0097335;0.0015527
0.129871;0.000554411;-0.00775321;0.00133841
0.125993;0.000593547;-0.00653732;0.00116315
0.12196;0.000627855;-0.00535157;0.000993466
0.117784;0.000657294;-0.00420875;0.000830105
0.113475;0.000681882;-0.00311417;0.000673521
0.109045;0.000701693;-0.0020723;0.000524104
0.104506;0.000716848;-0.00108685;0.000382175
0.09987;0.000727512;-0.000160848;0.000247991
0.0951475;0.000733884;0.000705277;0.000121749
0.0903502;0.000736196;0.0015128;3.59002e-006
0.0854892;0.000734704;0.00225942;-0.000106433
0.0805755;0.000729682;0.00294328;-0.00020831
0.0756202;0.000721422;0.00356305;-0.00030204
0.0706338;0.000710221;0.00411785;-0.000387667
0.0656269;0.000696387;0.00460731;-0.000465273
0.0606098;0.000680226;0.00503154;-0.000534984
0.0555926;0.000662042;0.00539107;-0.000596955
0.0505852;0.000642137;0.0056869;-0.000651377
0.0455971;0.000620801;0.00592041;-0.000698469
0.0406378;0.000598317;0.00609341;-0.000738473
0.0357161;0.000574952;0.00620803;-0.000771657
0.030841;0.000550961;0.00685419;-0.000798305
0.0260209;0.000526583;0.00758338;-0.000818719
0.0212638;0.00050204;0.00820945;-0.000833217
0.0165778;0.000477535;0.00872886;-0.000834225
0.0119702;0.000453254;0.00913743;-0.000785448
0.00744832;0.000429363;0.00943196;-0.00073512
0.00301895;0.000406012;0.00961031;-0.000683705
-0.0013114;0.00038333;0.00967142;-0.000631868
-0.00553657;0.000361428;0.00940443;-0.000580194
-0.00965077;0.0003404;0.00795904;-0.000529192
-0.0136486;0.000320324;0.00644746;-0.000479297
-0.0175248;0.000301261;0.00488639;-0.00043088
-0.0212748;0.000283254;0.00331784;-0.000384245
-0.0248943;0.000266337;0.00239084;-0.000379753
-0.0283791;0.000250525;0.0018641;-0.000399583
-0.0317256;0.000235825;0.0013553;-0.000416747
-0.0349306;0.00022223;0.000870212;-0.000431395
-0.037991;0.000209725;0.000410873;-0.000443664
-0.0409044;0.000198285;-2.10067e-005;-0.000453675
-0.0436685;0.000187876;-0.000424734;-0.00046154
-0.0462814;0.00017846;-0.000799611;-0.000467362
-0.0487415;0.000169992;-0.00114458;-0.000471236
-0.0510477;0.000162421;-0.00145888;-0.00047325
-0.053199;0.000155694;-0.001742;-0.000473489
-0.0551949;0.000149755;-0.00199369;-0.000450176
-0.0570352;0.000144546;-0.00221395;-0.000422807
-0.05872;0.000140006;-0.00240301;-0.000394999
-0.0602496;0.000136078;-0.00256133;-0.000366919
-0.0616247;0.0001327;-0.00268956;-0.000338739
-0.0628462;0.000129814;-0.00278855;-0.000310623
-0.0639155;0.000127364;-0.00297632;-0.000282722
-0.0648339;0.000125293;-0.00318959;-0.000255176
-0.0656034;0.000123548;-0.00336729;-0.000228111
-0.0662258;0.00012208;-0.00350916;-0.000201644
-0.0667035;0.00012084;-0.0036147;-0.000175881
-0.067039;0.000119784;-0.0036838;-0.000150915
-0.0672349;0.000118871;-0.00371666;-0.000126828
-0.0672942;0.000118062;-0.00371379;-0.000103693
-0.0672201;0.000117323;-0.00367601;-8.15723e-005
-0.0670157;0.000116623;-0.00344869;-6.05177e-005
-0.0666847;0.000115934;-0.00306951;-4.0572e-005
-0.0662306;0.000115232;-0.00267197;-2.17687e-005
-0.0656572;0.000114495;-0.00226214;-4.13286e-006
-0.0649686;0.000113707;-0.00184781;1.23192e-005
-0.0641688;0.000112853;-0.00143626;2.7579e-005
-0.063262;0.000111919;-0.00121365;4.16446e-005
-0.0622525;0.000110898;-0.00100759;5.45202e-005
-0.0611447;0.000109783;-0.000806991;6.62167e-005
-0.0599431;0.000108569;-0.000613169;7.67506e-005
-0.0586524;0.000107255;-0.000427186;8.61435e-005
-0.0572771;0.000105839;-0.000249975;9.4422e-005
-0.055822;0.000104324;-8.23358e-005;0.000101617
-0.0542918;0.000102713;7.50796e-005;0.000107763
-0.0526913;0.00010101;0.000221846;0.000112899
-0.0510252;9.92209e-005;0.000357521;0.000117064
-0.0492985;9.73519e-005;0.00048175;0.000120304
-0.047516;9.54104e-005;0.000594289;0.000122663
-0.0456824;9.34044e-005;0.000694998;0.000124189
-0.0438026;9.13423e-005;0.000783838;0.00012493
-0.0418814;8.92326e-005;0.000860861;0.000124937
-0.0399234;8.70842e-005;0.00092621;0.000124259
-0.0379335;8.49059e-005;0.000980108;0.000122948
-0.0359163;8.27066e-005;0.00102285;0.00012543
-0.0338764;8.04949e-005;0.00105481;0.000129313
-0.0318183;7.8279e-005;0.00107642;0.000133236
-0.0297466;7.60671e-005;0.00115284;0.000137023
-0.0276655;7.38666e-005;0.0012868;0.000140526
-0.0255795;7.16848e-005;0.0014029;0.000143632
-0.0234926;6.95283e-005;0.00150072;0.000146285
-0.0214091;6.74032e-005;0.00157938;0.000148418
-0.019333;6.5315e-005;0.00163817;0.000146561
-0.017268;6.32687e-005;0.00167657;0.000127194
-0.0152182;6.12686e-005;0.00169424;0.000108694
-0.013187;5.93186e-005;0.00169109;9.11919e-005
-0.011178;5.74219e-005;0.0014681;7.5259e-005
-0.00919473;5.55811e-005;0.00120354;6.11239e-005
-0.00724038;5.37983e-005;0.000929578;5.0445e-005
-0.00531813;5.20752e-005;0.00065313;4.38554e-005
-0.00343099;5.04128e-005;0.000441248;3.74583e-005
-0.00158182;4.88117e-005;0.000349131;3.12978e-005
0.00022664;4.72721e-005;0.0002593;2.53911e-005
0.00199181;4.57937e-005;0.000173265;1.97531e-005
0.00371124;4.43761e-005;9.14481e-005;1.43961e-005
0.00538265;4.30181e-005;1.42166e-005;9.33012e-006
0.00700389;4.17187e-005;-5.81367e-005;4.56276e-006
0.00857298;4.04763e-005;-0.000125385;9.9575e-008
0.0100881;3.92892e-005;-0.000187328;-4.05599e-006
0.0115474;3.81555e-005;-0.00024382;-7.90242e-006
0.0129496;3.70732e-005;-0.000294766;-1.14399e-005
0.0142931;3.60399e-005;-0.000340119;-1.46704e-005
0.0155767;3.50535e-005;-0.00037988;-1.75973e-005
0.0167993;3.41116e-005;-0.000414094;-2.02255e-005
0.01796;3.32118e-005;-0.000442845;-2.25611e-005
0.0190579;3.23516e-005;-0.000466255;-2.46115e-005
0.0200924;3.15287e-005;-0.000484481;-2.63851e-005
0.021063;3.07407e-005;-0.000511983;-2.78913e-005
0.0219692;2.99852e-005;-0.000551034;-2.91401e-005
0.0228109;2.92601e-005;-0.000583858;-3.01425e-005
0.0235878;2.8563e-005;-0.000610436;-3.091e-005
0.0243;2.78918e-005;-0.000630655;-3.14544e-005
0.0249476;2.72447e-005;-0.000644465;-3.08365e-005
0.025531;2.66196e-005;-0.000651873;-2.90365e-005
0.0260504;2.60148e-005;-0.000652945;-2.71756e-005
0.0265063;2.54285e-005;-0.000647807;-2.52748e-005
0.0268994;2.48593e-005;-0.000619655;-2.33585e-005
0.0272305;2.43058e-005;-0.000553379;-2.14483e-005
0.0275002;2.37665e-005;-0.000483803;-1.9563e-005
0.0277095;2.32403e-005;-0.000411842;-1.77186e-005
0.0278595;2.27261e-005;-0.000338903;-1.59288e-005
0.0279513;2.2223e-005;-0.000266291;-1.42049e-005
0.027986;2.17301e-005;-0.000220007;-1.47026e-005
0.027965;2.12466e-005;-0.000183832;-1.54353e-005
0.0278896;2.07719e-005;-0.000148461;-1.60694e-005
0.0277612;2.03055e-005;-0.000114199;-1.66102e-005
0.0275814;1.98468e-005;-8.12449e-005;-1.70626e-005
0.0273517;1.93956e-005;-4.97727e-005;-1.74311e-005
0.0270738;1.89514e-005;-1.99348e-005;-1.77195e-005
0.0267493;1.8514e-005;8.13956e-006;-1.79315e-005
0.02638;1.80833e-005;3.43469e-005;-1.80706e-005
0.0259677;1.76591e-005;5.8602e-005;-1.814e-005
0.0255141;1.72413e-005;8.08389e-005;-1.81427e-005
0.0250212;1.68299e-005;0.000101012;-1.71653e-005
0.0244909;1.64249e-005;0.000119094;-1.61282e-005
0.0239251;1.60262e-005;0.000135076;-1.50735e-005
0.0233258;1.5634e-005;0.000148968;-1.40079e-005
0.0226948;1.52484e-005;0.000160792;-1.29381e-005
0.0220343;1.48692e-005;0.000170589;-1.18702e-005
0.0213461;1.44968e-005;0.000178411;-1.08101e-005
0.0206324;1.41311e-005;0.000184322;-9.76298e-006
0.0198951;1.37723e-005;0.000188399;-8.73382e-006
0.0191362;1.34203e-005;0.00019796;-7.72704e-006
0.0183577;1.30755e-005;0.000222083;-6.74664e-006
0.0175616;1.27377e-005;0.000243071;-5.79622e-006
0.0167499;1.2407e-005;0.000260885;-4.87895e-006
