P;PID;FLC;FLC3
0.839828;0.996182;1.00138;0.999557
0.840972;0.996302;1.00177;0.999461
0.8424;0.996417;1.00214;0.999375
0.844105;0.996526;1.00247;0.999299
0.846075;0.996631;1.00277;0.999233
0.8483;0.99673;1.00302;0.999177
0.850771;0.996825;1.00324;0.99913
0.853475;0.996915;1.00342;0.999093
0.856404;0.997001;1.00356;0.999065
0.859545;0.997083;1.00367;0.999046
0.862887;0.997161;1.00373;0.999036
0.866419;0.997235;1.00375;0.999034
0.870129;0.997306;1.00374;0.999039
0.874007;0.997374;1.0037;0.999051
0.87804;0.997439;1.00362;0.999069
0.882216;0.997501;1.00352;0.999093
0.886525;0.997561;1.00339;0.999122
0.890955;0.997618;1.00324;0.999155
0.895494;0.997674;1.00307;0.999192
0.90013;0.997727;1.00288;0.999233
0.904852;0.997778;1.00268;0.999276
0.90965;0.997828;1.00247;0.999321
0.914511;0.997876;1.00225;0.999368
0.919424;0.997923;1.00202;0.999416
0.92438;0.997969;1.00179;0.999465
0.929366;0.998013;1.00156;0.999514
0.934373;0.998057;1.00133;0.999564
0.93939;0.9981;1.0011;0.999613
0.944407;0.998142;1.00087;0.999662
0.949415;0.998183;1.00065;0.99971
0.954403;0.998223;1.00044;0.999757
0.959362;0.998263;1.00024;0.999802
0.964284;0.998302;1.00004;0.999847
0.969159;0.99834;0.999861;0.999889
0.973979;0.998378;0.99969;0.99993
0.978736;0.998416;0.99953;0.999969
0.983422;0.998452;0.999384;1.00001
0.98803;0.998489;0.999251;1.00004
0.992552;0.998525;0.999133;1.00007
0.996981;0.99856;0.999029;1.0001
1.00131;0.998595;0.998941;1.00013
1.00554;0.998629;0.998869;1.00016
1.00965;0.998663;0.998814;1.00018
1.01365;0.998696;0.998774;1.0002
1.01752;0.998729;0.998752;1.00022
1.02127;0.998761;0.998746;1.00024
1.02489;0.998793;0.998755;1.00025
1.02838;0.998824;0.998779;1.00026
1.03173;0.998855;0.998816;1.00028
1.03493;0.998885;0.998865;1.00028
1.03799;0.998914;0.998924;1.00029
1.0409;0.998943;0.998992;1.0003
1.04367;0.998971;0.999067;1.0003
1.04628;0.998998;0.999149;1.00031
1.04874;0.999025;0.999235;1.00031
1.05105;0.999051;0.999325;1.00031
1.0532;0.999077;0.999418;1.00031
1.05519;0.999102;0.999512;1.00031
1.05704;0.999126;0.999606;1.00031
1.05872;0.99915;0.9997;1.00031
1.06025;0.999173;0.999793;1.0003
1.06162;0.999196;0.999883;1.0003
1.06285;0.999217;0.999971;1.00029
1.06392;0.999239;1.00006;1.00029
1.06483;0.999259;1.00014;1.00028
1.0656;0.999279;1.00021;1.00027
1.06623;0.999299;1.00028;1.00026
1.0667;0.999318;1.00035;1.00025
1.06704;0.999336;1.00041;1.00024
1.06723;0.999354;1.00046;1.00023
1.06729;0.999371;1.00051;1.00022
1.06722;0.999388;1.00055;1.00021
1.06702;0.999404;1.00058;1.0002
1.06668;0.99942;1.00061;1.00019
