P;PID;FLC;FLC3
0.106152;0.00741096;0.00769916;-0.00365765
0.11237;0.00721884;0.00765094;-0.00340724
0.118219;0.00702492;0.00751723;-0.00315653
0.123698;0.00683002;0.00730572;-0.00290685
0.128804;0.00663492;0.00702482;-0.00265941
0.133537;0.00644038;0.00668284;-0.00241535
0.137895;0.00624711;0.00628794;-0.00217573
0.141879;0.00605575;0.00584809;-0.00194149
0.145491;0.00586692;0.00537097;-0.00171349
0.148731;0.00568118;0.00486399;-0.00149251
0.151602;0.00549901;0.00433417;-0.00127923
0.154108;0.00532086;0.00378821;-0.00107425
0.156253;0.00514711;0.00323241;-0.000878081
0.158039;0.00497808;0.00267266;-0.000691158
0.159473;0.00481406;0.00211446;-0.000513837
0.16056;0.00465525;0.00156289;-0.000346399
0.161306;0.00450183;0.00102261;-0.000189053
0.161718;0.00435392;0.000497851;-4.19405e-005
0.161803;0.00421159;-7.58683e-006;9.48594e-005
0.161568;0.00407487;-0.000490322;0.00022133
0.161022;0.00394375;-0.000947396;0.000337509
0.160172;0.00381818;-0.00137626;0.000443464
0.159028;0.00369809;-0.00177457;0.000539275
0.1576;0.00358337;-0.0021402;0.000625034
0.155895;0.00347389;-0.00247129;0.00070084
0.153925;0.00336949;-0.00276626;0.000766805
0.1517;0.00326999;-0.00302382;0.000823048
0.149229;0.00317521;-0.00324298;0.000869702
0.146525;0.00308493;-0.00342309;0.000906911
0.143596;0.00299895;-0.0035638;0.000934834
0.140455;0.00291705;-0.00366508;0.000953759
0.137113;0.002839;-0.00372756;0.000964095
0.133581;0.00276457;-0.00375247;0.000966345
0.129871;0.00269353;-0.00374155;0.000961088
0.125993;0.00262568;-0.00369705;0.000948951
0.12196;0.00256077;-0.00362158;0.00093059
0.117784;0.0024986;-0.00351803;0.000906652
0.113475;0.00243896;-0.00338931;0.00087776
0.109045;0.00238165;-0.0032383;0.000844517
0.104506;0.00232649;-0.00306788;0.000807501
0.09987;0.00227328;-0.00288088;0.000767265
0.0951475;0.00222186;-0.00268005;0.000724335
0.0903502;0.00217208;-0.00246807;0.000679212
0.0854892;0.00212379;-0.00224752;0.000632369
0.0805755;0.00207684;-0.00202083;0.00058425
0.0756202;0.00203112;-0.00179037;0.000535273
0.0706338;0.00198651;-0.00155831;0.000485826
0.0656269;0.00194292;-0.00132674;0.00043627
0.0606098;0.00190025;-0.00109757;0.000386939
0.0555926;0.00185842;-0.000872558;0.000338137
0.0505852;0.00181737;-0.000653331;0.000290143
0.0455971;0.00177702;-0.000441347;0.000243208
0.0406378;0.00173734;-0.000237911;0.00019756
0.0357161;0.00169828;-4.41722e-005;0.000153398
0.030841;0.0016598;0.000138873;0.000110899
0.0260209;0.00162187;0.000310381;7.02162e-005
0.0212638;0.00158448;0.000469655;3.14792e-005
0.0165778;0.00154761;0.000616009;-5.20323e-006
0.0119702;0.00151125;0.000748745;-3.9743e-005
0.00744832;0.0014754;0.000867187;-7.20718e-005
0.00301895;0.00144004;0.000970701;-0.000102141
-0.0013114;0.00140519;0.00105872;-0.000129933
-0.00553657;0.00137085;0.00113078;-0.000155454
-0.00965077;0.00133702;0.00118649;-0.000178733
-0.0136486;0.00130371;0.00122561;-0.000199818
-0.0175248;0.00127094;0.00124805;-0.000218774
-0.0212748;0.00123871;0.00125418;-0.00023568
-0.0248943;0.00120704;0.00124474;-0.000250624
-0.0283791;0.00117593;0.0012208;-0.000263705
-0.0317256;0.0011454;0.00118371;-0.000275026
-0.0349306;0.00111546;0.00113495;-0.000284688
-0.037991;0.00108612;0.00107594;-0.000292779
-0.0409044;0.00105738;0.00100808;-0.000299382
-0.0436685;0.00102925;0.000932746;-0.000304569
-0.0462814;0.00100175;0.000851255;-0.000308408
-0.0487415;0.000974875;0.000764873;-0.000310963
-0.0510477;0.000948627;0.000674812;-0.000312292
-0.053199;0.000923011;0.000582218;-0.000312449
-0.0551949;0.000898028;0.000488172;-0.000311488
-0.0570352;0.000873677;0.000393685;-0.000309459
-0.05872;0.000849955;0.000299694;-0.000306411
-0.0602496;0.00082686;0.000207064;-0.000302395
-0.0616247;0.000804385;0.000116582;-0.000297469
-0.0628462;0.000782524;2.89612e-005;-0.000291691
-0.0639155;0.00076127;-5.51643e-005;-0.000285124
-0.0648339;0.000740614;-0.000135235;-0.000277831
-0.0656034;0.000720546;-0.000210766;-0.000269878
-0.0662258;0.000701055;-0.000281319;-0.00026133
-0.0667035;0.000682128;-0.000346494;-0.000252254
-0.067039;0.000663754;-0.00040593;-0.000242715
-0.0672349;0.000645919;-0.000459312;-0.000232779
-0.0672942;0.00062861;-0.000506375;-0.000222509
-0.0672201;0.000611811;-0.000546907;-0.000211968
-0.0670157;0.000595509;-0.00058075;-0.000201218
-0.0666847;0.000579689;-0.000607802;-0.000190316
