Type_1;Type_2
2.03304e-006; 0.126787; 
1.8856e-006; 0.110586; 
1.7266e-006; 0.103094; 
1.55981e-006; 0.101983; 
1.38868e-006; 0.0614283; 
1.21635e-006; 0.0481986; 
1.04557e-006; 0.0356444; 
8.78787e-007; -0.160618; 
7.18067e-007; -0.166995; 
5.65161e-007; -0.17222; 
4.21489e-007; -0.174902; 
2.88168e-007; -0.175495; 
1.66023e-007; -0.194564; 
5.56146e-008; -0.194923; 
0; -0.245733; 
0; -0.249106; 
0; -0.250876; 
0; -0.250704; 
0; -0.227944; 
0; -0.140763; 
0; 0.0480749; 
0; 0.053619; 
0; 0.0586176; 
0; 0.0675168; 
0; 0.0803398; 
0; 0.0919216; 
0; 0.140597; 
0; 0.160112; 
0; 0.160997; 
0; 0.160386; 
0; 0.158307; 
0; 0.154885; 
0; 0.150191; 
0; 0.145515; 
0; 0.142093; 
0; 0.136943; 
0; 0.12995; 
0; 0.1209; 
0; 0.103448; 
0; 0.100736; 
0; 0.0906774; 
0; 0.0572124; 
0; 0.0442719; 
0; -0.153477; 
0; -0.16081; 
0; -0.166867; 
0; -0.170194; 
0; -0.171313; 
0; -0.170539; 
0; -0.190022; 
0; -0.189042; 
0; -0.241556; 
0; -0.243436; 
0; -0.24363; 
0; -0.227676; 
0; -0.13773; 
0; 0.050006; 
0; 0.0551221; 
0; 0.0598072; 
0; 0.0667945; 
0; 0.0790511; 
0; 0.13093; 
0; 0.136523; 
0; 0.155227; 
0; 0.155678; 
0; 0.15468; 
0; 0.15224; 
0; 0.148467; 
0; 0.14342; 
0; 0.137123; 
0; 0.130856; 
0; 0.124544; 
0; 0.116237; 
0; 0.105719; 
0; 0.0968881; 
0; 0.0959038; 
0; 0.0595135; 
0; -0.138975; 
0; -0.148047; 
0; -0.15564; 
0; -0.160141; 
0; -0.162195; 
0; -0.162194; 
0; -0.160382; 
0; -0.179422; 
0; -0.177148; 
0; -0.173239; 
0; -0.228846; 
0; -0.159713; 
0; -0.13195; 
0; -0.132014; 
0; 0.0590299; 
0; 0.0628221; 
0; 0.111287; 
0; 0.120675; 
0; 0.127996; 
0; 0.147755; 
0; 0.149333; 
0; 0.149321; 
0; 0.147761; 
0; 0.144795; 
0; 0.14051; 
0; 0.134954; 
0; 0.128142; 
0; 0.120344; 
0; 0.112614; 
0; 0.102738; 
0; 0.0948765; 
0; 0.0940081; 
0; -0.103595; 
0; -0.13567; 
0; -0.144634; 
0; -0.15042; 
0; -0.153495; 
0; -0.154335; 
0; -0.153237; 
0; -0.150384; 
0; -0.14587; 
0; -0.164568; 
0; -0.159251; 
0; -0.13023; 
0; -0.103863; 
0; -0.103895; 
0; 0.0912586; 
0; 0.0996252; 
0; 0.107477; 
0; 0.130813; 
0; 0.134966; 
0; 0.137164; 
0; 0.137533; 
0; 0.136304; 
0; 0.133629; 
0; 0.129608; 
0; 0.124303; 
0; 0.11775; 
0; 0.109966; 
0; 0.100964; 
0; 0; 
0; 0; 
0; 0; 
0; -0.129018; 
0; -0.135667; 
0; -0.14089; 
0; -0.143483; 
0; -0.143884; 
0; -0.142359; 
0; -0.139071; 
0; -0.134102; 
0; -0.131112; 
0; -0.103189; 
0; -0.103385; 
0; -0.103427; 
0; 0.0896678; 
0; 0.0969599; 
0; 0.119301; 
0; 0.125177; 
0; 0.128792; 
0; 0.130379; 
0; 0.130225; 
0; 0.128527; 
0; 0.125422; 
0; 0.120999; 
0; 0.115318; 
0; 0.108417; 
0; 0.100325; 
0; 0; 
0; 0; 
0; 0; 
0; -0.103975; 
0; -0.133007; 
0; -0.138001; 
0; -0.14068; 
0; -0.141148; 
0; -0.139677; 
0; -0.161934; 
0; -0.159075; 
0; -0.132373; 
0; -0.10405; 
0; -0.104192; 
0; 0.0840054; 
0; 0.0918624; 
0; 0.0991776; 
0; 0.10433; 
0; 0.108397; 
0; 0.12701; 
0; 0.127539; 
0; 0.126639; 
0; 0.124266; 
0; 0.120537; 
0; 0.115527; 
0; 0.109288; 
0; 0.101858; 
0; 0; 
0; 0; 
0; 0; 
0; -0.10302; 
0; -0.129943; 
0; -0.134939; 
0; -0.137603; 
0; -0.138054; 
0; -0.162866; 
0; -0.161489; 
0; -0.134653; 
0; -0.104517; 
0; -0.129129; 
0; -0.129408; 
0; 0.0591029; 
0; 0.0617871; 
0; 0.10052; 
0; 0.105908; 
0; 0.110931; 
0; 0.130714; 
0; 0.131632; 
0; 0.131072; 
0; 0.129006; 
0; 0.125557; 
0; 0.120807; 
0; 0.114807; 
0; 0.10759; 
0; 0.0991831; 
0; 0; 
0; 0; 
0; 0; 
0; -0.104493; 
0; -0.134621; 
0; -0.139579; 
0; -0.142237; 
0; -0.167074; 
0; -0.167542; 
0; -0.166335; 
0; -0.224052; 
0; -0.158366; 
0; -0.130807; 
0; -0.13116; 
