Type_1;Type_2
1.00112; 0.997377; 
1.00112; 0.997953; 
1.00112; 0.998729; 
1.00112; 0.999697; 
1.00112; 1.00084; 
1.00112; 1.00214; 
1.00112; 1.00357; 
1.00112; 1.00508; 
1.00112; 1.00661; 
1.00112; 1.0081; 
1.00112; 1.00951; 
1.00112; 1.01081; 
1.00112; 1.01196; 
1.00112; 1.01293; 
1.00112; 1.01368; 
1.00112; 1.01419; 
1.00112; 1.01442; 
1.00112; 1.01435; 
1.00112; 1.01398; 
1.00112; 1.01331; 
1.00112; 1.0124; 
1.00112; 1.0113; 
1.00112; 1.01005; 
1.00112; 1.00871; 
1.00112; 1.0073; 
1.00112; 1.00587; 
1.00112; 1.00445; 
1.00112; 1.00309; 
1.00112; 1.00183; 
1.00112; 1.0007; 
1.00112; 0.999711; 
1.00112; 0.998897; 
1.00112; 0.998268; 
1.00112; 0.997837; 
1.00112; 0.99761; 
1.00112; 0.997593; 
1.00112; 0.997786; 
1.00112; 0.998187; 
1.00112; 0.99879; 
1.00112; 0.999587; 
1.00112; 1.00057; 
1.00112; 1.00171; 
1.00112; 1.00301; 
1.00112; 1.00439; 
1.00112; 1.0058; 
1.00112; 1.00719; 
1.00112; 1.00852; 
1.00112; 1.00974; 
1.00112; 1.01083; 
1.00112; 1.01176; 
1.00112; 1.0125; 
1.00112; 1.01301; 
1.00112; 1.01328; 
1.00112; 1.01326; 
1.00112; 1.01296; 
1.00112; 1.01238; 
1.00112; 1.01157; 
1.00112; 1.01059; 
1.00112; 1.00947; 
1.00112; 1.00826; 
1.00112; 1.00699; 
1.00112; 1.0057; 
1.00112; 1.00445; 
1.00112; 1.00326; 
1.00112; 1.00217; 
1.00112; 1.0012; 
1.00112; 1.00039; 
1.00112; 0.999738; 
1.00112; 0.99927; 
1.00112; 0.998992; 
1.00112; 0.998908; 
1.00112; 0.999022; 
1.00112; 0.999331; 
1.00112; 0.999833; 
1.00112; 1.00052; 
1.00112; 1.00139; 
1.00112; 1.00241; 
1.00112; 1.00355; 
1.00112; 1.00473; 
1.00112; 1.00591; 
1.00112; 1.00704; 
1.00112; 1.0081; 
1.00112; 1.00904; 
1.00112; 1.00985; 
1.00112; 1.01049; 
1.00112; 1.01095; 
1.00112; 1.0112; 
1.00112; 1.01122; 
1.00112; 1.01101; 
1.00112; 1.01056; 
1.00112; 1.00989; 
1.00112; 1.00904; 
1.00112; 1.00805; 
1.00112; 1.00698; 
1.00112; 1.00587; 
1.00112; 1.00475; 
1.00112; 1.00368; 
1.00112; 1.00268; 
1.00112; 1.00179; 
1.00112; 1.00102; 
1.00112; 1.0004; 
1.00112; 0.999949; 
1.00112; 0.999667; 
1.00112; 0.999567; 
1.00112; 0.999652; 
1.00112; 0.999921; 
1.00112; 1.00037; 
1.00112; 1.001; 
1.00112; 1.00179; 
1.00112; 1.00271; 
1.00112; 1.00369; 
1.00112; 1.00469; 
1.00112; 1.00566; 
1.00112; 1.00658; 
1.00112; 1.0074; 
1.00112; 1.0081; 
1.00112; 1.00866; 
1.00112; 1.00906; 
1.00112; 1.00928; 
1.00112; 1.00932; 
1.00112; 1.00916; 
1.00112; 1.0088; 
1.00112; 1.00827; 
1.00112; 1.00759; 
1.00112; 1.00683; 
1.00112; 1.00601; 
1.00112; 1.00518; 
1.00112; 1.00439; 
1.00112; 1.00365; 
1.00112; 1.003; 
1.00112; 1.00246; 
1.00112; 1.00205; 
1.00112; 1.00178; 
1.00112; 1.00167; 
1.00112; 1.00172; 
1.00112; 1.00192; 
1.00112; 1.00229; 
1.00112; 1.0028; 
1.00112; 1.00343; 
1.00112; 1.00415; 
1.00112; 1.00493; 
1.00112; 1.00571; 
1.00112; 1.00646; 
1.00112; 1.00715; 
1.00112; 1.00775; 
1.00112; 1.00823; 
1.00112; 1.00858; 
1.00112; 1.00878; 
1.00112; 1.00883; 
1.00112; 1.00871; 
1.00112; 1.00843; 
1.00112; 1.00799; 
1.00112; 1.00744; 
1.00112; 1.0068; 
1.00112; 1.00614; 
1.00112; 1.00548; 
1.00112; 1.00485; 
1.00112; 1.00429; 
1.00112; 1.00381; 
1.00112; 1.00345; 
1.00112; 1.00321; 
1.00112; 1.0031; 
1.00112; 1.00315; 
1.00112; 1.00334; 
1.00112; 1.00368; 
1.00112; 1.00415; 
1.00112; 1.00473; 
1.00112; 1.00539; 
1.00112; 1.00611; 
1.00112; 1.00684; 
1.00112; 1.00754; 
1.00112; 1.00818; 
1.00112; 1.00873; 
1.00112; 1.00918; 
1.00112; 1.00948; 
1.00112; 1.00963; 
1.00112; 1.00962; 
1.00112; 1.00944; 
