Plaus_1; Plaus_2; Plaus_3; Belief_1; Belief_2; Belief_3
-0.032017; -0.0550291; 0.0202022; 0.0705025; 0.0719878; 0.0899841; 
-0.0459796; -0.0701608; 0.00401667; 0.0543159; 0.0563554; 0.0908067; 
-0.0589441; -0.0843765; -0.0119023; 0.039746; 0.0417625; 0.0910845; 
-0.0708901; -0.0976165; -0.0275274; 0.0266774; 0.0281447; 0.0908261; 
-0.0817859; -0.109803; -0.0428254; 0.0149901; 0.0157217; 0.0900376; 
-0.0915884; -0.120842; -0.0577486; 0.00456761; 0.00374087; 0.0887266; 
-0.100245; -0.130618; -0.0722339; -0.00469889; -0.00803424; 0.0869028; 
-0.107693; -0.139004; -0.0862009; -0.0129084; -0.0195712; 0.0845782; 
-0.113863; -0.145853; -0.0995505; -0.0201495; -0.0308319; 0.0812002; 
-0.118681; -0.151011; -0.112164; -0.0265007; -0.04177; 0.0764226; 
-0.122069; -0.154315; -0.123901; -0.0325021; -0.05233; 0.0714082; 
-0.123952; -0.155603; -0.134602; -0.0379008; -0.0624478; 0.0661942; 
-0.12426; -0.149434; -0.144087; -0.0426461; -0.0720498; 0.0608204; 
-0.122936; -0.141717; -0.152026; -0.0467346; -0.0810538; 0.0553226; 
-0.119939; -0.132563; -0.14979; -0.0501639; -0.0893695; 0.049733; 
-0.115252; -0.12213; -0.14613; -0.0529328; -0.0968996; 0.0440804; 
-0.108761; -0.110566; -0.141109; -0.055043; -0.103542; 0.0383907; 
-0.0994578; -0.0980224; -0.134883; -0.056499; -0.109191; 0.0331461; 
-0.0892104; -0.0846484; -0.127598; -0.0573097; -0.110488; 0.0278659; 
-0.0781404; -0.0714471; -0.119389; -0.057488; -0.108561; 0.0224037; 
-0.0663982; -0.0574973; -0.110387; -0.0570524; -0.105726; 0.0167794; 
-0.0541377; -0.0422158; -0.100713; -0.0560268; -0.102067; 0.0110145; 
-0.0415763; -0.0256281; -0.0914555; -0.0544411; -0.0976901; 0.0051337; 
-0.02907; -0.0104996; -0.0818882; -0.0523313; -0.0926934; -0.000835364; 
-0.0173954; 0.00325644; -0.0716086; -0.0497394; -0.0871696; -0.00686157; 
-0.00734903; 0.0160365; -0.0607212; -0.0467131; -0.0812059; -0.0129103; 
0.00201408; 0.0279364; -0.049397; -0.0433053; -0.0748844; -0.0189432; 
0.0109395; 0.0388962; -0.0385679; -0.0395737; -0.0690759; -0.0249183; 
0.0194075; 0.04886; -0.0283746; -0.0355791; -0.0629569; -0.0307902; 
0.0273667; 0.0577716; -0.0188199; -0.0313854; -0.0564835; -0.0347899; 
0.0347651; 0.065575; -0.00989743; -0.0270573; -0.049722; -0.0358974; 
0.0415501; 0.0722143; -0.00162102; -0.0226597; -0.0427245; -0.0367298; 
0.0476692; 0.0776353; 0.00631703; -0.0182561; -0.0357045; -0.0372947; 
0.0517702; 0.081253; 0.0139074; -0.0139076; -0.0290012; -0.0376139; 
0.0549465; 0.0825236; 0.0211136; -0.00967127; -0.0226306; -0.0377087; 
0.0572434; 0.0824952; 0.0278984; -0.00559933; -0.0166047; -0.0376001; 
0.0586964; 0.0812436; 0.0342231; -0.00173838; -0.0109296; -0.0373081; 
0.0593476; 0.0788639; 0.0400486; 0.00188537; -0.00560742; -0.0368521; 
0.0592439; 0.0754542; 0.0453354; 0.00468559; -0.000645673; -0.0362502; 
0.0584363; 0.0711143; 0.0500449; 0.00650545; 0.00408731; -0.0355198; 
0.0569784; 0.0659464; 0.0541399; 0.00817897; 0.0085774; -0.0347323; 
0.054926; 0.0600545; 0.0575861; 0.00970582; 0.0128055; -0.0340597; 
0.0523364; 0.0538737; 0.0603462; 0.0110734; 0.0167532; -0.0332781; 
0.0495147; 0.0471575; 0.0623322; 0.0122809; 0.0204029; -0.0323985; 
0.0462822; 0.0399156; 0.0635595; 0.0133289; 0.0237381; -0.0314306; 
0.042634; 0.0320954; 0.0640611; 0.0142194; 0.0267435; -0.030384; 
0.0386205; 0.0233899; 0.0638734; 0.0149554; 0.0294056; -0.0292682; 
0.0342949; 0.0150419; 0.0630355; 0.0155411; 0.0317129; -0.0280928; 
0.0285328; 0.00712414; 0.0615888; 0.0159813; 0.0336562; -0.0268668; 
0.0219107; -0.000293744; 0.0595763; 0.0162823; 0.0352289; -0.0255994; 
0.0154944; -0.00724455; 0.0570421; 0.0164745; 0.0365014; -0.0242992; 
0.0093544; -0.013738; 0.0542781; 0.0165428; 0.0375963; -0.0229444; 
0.00356113; -0.0197156; 0.0511839; 0.0164937; 0.0382909; -0.0214789; 
-0.00183185; -0.0251263; 0.0476331; 0.0163338; 0.0386038; -0.0200339; 
-0.00681556; -0.0299252; 0.0436643; 0.01607; 0.0385531; -0.0186146; 
-0.011407; -0.0340735; 0.0393184; 0.0157094; 0.0381589; -0.0172262; 
-0.0155595; -0.0375384; 0.0328128; 0.0152594; 0.0374425; -0.015873; 
-0.0192406; -0.0402941; 0.0263569; 0.0147277; 0.0364263; -0.0145584; 
-0.0224242; -0.0423219; 0.0200001; 0.0141221; 0.0351337; -0.0132855; 
-0.0250906; -0.0436114; 0.0138098; 0.0134505; 0.0336068; -0.0120565; 
-0.0272265; -0.0439136; 0.00784086; 0.0127208; 0.0319944; -0.0108733; 
-0.0288249; -0.043301; 0.00215662; 0.0115416; 0.0301506; -0.00973737; 
-0.0298857; -0.0420333; -0.00332067; 0.0101368; 0.0280982; -0.00864968; 
-0.0304151; -0.0401626; -0.0085591; 0.00872787; 0.0258599; -0.00761091; 
-0.0304265; -0.0377489; -0.0135141; 0.00733109; 0.0234595; -0.00662144; 
-0.0299401; -0.0348556; -0.0181433; 0.00596345; 0.0202268; -0.00568139; 
-0.0289829; -0.031549; -0.0224071; 0.00463975; 0.0169849; -0.00479065; 
-0.0275885; -0.0278974; -0.0262681; 0.00337272; 0.013764; -0.00394889; 
-0.0258654; -0.0240446; -0.0296921; 0.0021731; 0.0105948; -0.00315563; 
-0.0238042; -0.0199793; -0.0326486; 0.00104972; 0.00750439; -0.00241022; 
-0.0214542; -0.015743; -0.0351107; 9.61972e-006; 0.00451638; -0.0017119; 
-0.0188661; -0.0112917; -0.0370566; -0.000941815; 0.00166086; -0.00105977; 
-0.0160917; -0.00690211; -0.0378988; -0.00180074; -0.00108598; -0.000452848; 
-0.0131835; -0.00269395; -0.0378022; -0.00256473; -0.00370681; 0.000110233; 
-0.01021; 0.00128616; -0.0372276; -0.00323548; -0.0061826; 0.000633352; 
-0.00720367; 0.00502904; -0.036208; -0.00381434; -0.00849582; 0.00111725; 
-0.00463589; 0.00850245; -0.0347847; -0.00429889; -0.0106306; 0.00156251; 
-0.00233792; 0.0116693; -0.0330005; -0.00469043; -0.0125727; 0.00196984; 
-0.000124028; 0.0144979; -0.0308993; -0.00499121; -0.0143098; 0.00234004; 
0.00199592; 0.0169621; -0.0285256; -0.00520438; -0.0158316; 0.002674; 
0.00400487; 0.0190413; -0.0259298; -0.0053339; -0.0171297; 0.00297273; 
