P;PID;FLC;FLC3
0.840972;0.995897;1.00372;0.999427
0.8424;0.996019;1.00378;0.999554
0.844105;0.996135;1.0038;0.999675
0.846075;0.996246;1.00378;0.99979
0.8483;0.996352;1.00372;0.999897
0.850771;0.996454;1.00364;0.999998
0.853475;0.996551;1.00352;1.00009
0.856404;0.996643;1.00337;1.00018
0.859545;0.996732;1.0032;1.00026
0.862887;0.996817;1.00302;1.00033
0.866419;0.996898;1.00281;1.0004
0.870129;0.996975;1.00259;1.00046
0.874007;0.99705;1.00236;1.00051
0.87804;0.997121;1.00213;1.00055
0.882216;0.997189;1.00188;1.00059
0.886525;0.997255;1.00164;1.00063
0.890955;0.997319;1.0014;1.00066
0.895494;0.99738;1.00116;1.00068
0.90013;0.997439;1.00092;1.0007
0.904852;0.997497;1.00069;1.00071
0.90965;0.997553;1.00046;1.00073
0.914511;0.997607;1.00025;1.00073
0.919424;0.997659;1.00005;1.00074
0.92438;0.997711;0.999858;1.00074
0.929366;0.997761;0.99968;1.00073
0.934373;0.99781;0.999515;1.00073
0.93939;0.997858;0.999365;1.00072
0.944407;0.997905;0.99923;1.00071
0.949415;0.997952;0.999111;1.0007
0.954403;0.997997;0.999008;1.00068
0.959362;0.998042;0.998922;1.00066
0.964284;0.998085;0.998853;1.00064
0.969159;0.998129;0.998802;1.00062
0.973979;0.998171;0.998768;1.0006
0.978736;0.998213;0.998752;1.00058
0.983422;0.998254;0.998754;1.00055
0.98803;0.998295;0.998771;1.00053
0.992552;0.998335;0.998804;1.0005
0.996981;0.998375;0.99885;1.00047
1.00131;0.998414;0.998907;1.00045
1.00554;0.998452;0.998975;1.00042
1.00965;0.998489;0.999051;1.00039
1.01365;0.998526;0.999135;1.00037
1.01752;0.998563;0.999224;1.00034
1.02127;0.998599;0.999317;1.00031
1.02489;0.998634;0.999413;1.00029
1.02838;0.998668;0.999511;1.00026
1.03173;0.998702;0.99961;1.00024
1.03493;0.998735;0.999708;1.00021
1.03799;0.998768;0.999805;1.00019
1.0409;0.998799;0.999899;1.00017
1.04367;0.998831;0.99999;1.00015
1.04628;0.998861;1.00008;1.00012
1.04874;0.998891;1.00016;1.00011
1.05105;0.99892;1.00024;1.00009
1.0532;0.998948;1.00031;1.00007
1.05519;0.998976;1.00037;1.00005
1.05704;0.999003;1.00043;1.00004
1.05872;0.999029;1.00049;1.00002
1.06025;0.999055;1.00053;1.00001
1.06162;0.999079;1.00057;0.999999
1.06285;0.999104;1.0006;0.999988
1.06392;0.999127;1.00063;0.999978
1.06483;0.99915;1.00065;0.999969
1.0656;0.999173;1.00066;0.999961
1.06623;0.999194;1.00066;0.999954
1.0667;0.999215;1.00065;0.999948
1.06704;0.999236;1.00064;0.999943
1.06723;0.999256;1.00063;0.999939
1.06729;0.999275;1.00061;0.999936
1.06722;0.999294;1.00058;0.999933
1.06702;0.999312;1.00055;0.999931
1.06668;0.99933;1.00052;0.99993
1.06623;0.999347;1.00048;0.99993
1.06566;0.999364;1.00045;0.999931
1.06497;0.99938;1.00041;0.999932
1.06417;0.999396;1.00037;0.999933
1.06326;0.999412;1.00032;0.999935
1.06225;0.999427;1.00028;0.999938
1.06114;0.999441;1.00024;0.99994
1.05994;0.999455;1.0002;0.999944
1.05865;0.999469;1.00016;0.999947
1.05728;0.999483;1.00012;0.999951
1.05582;0.999496;1.00008;0.999954
1.05429;0.999508;1.00004;0.999958
1.05269;0.999521;1.00001;0.999962
1.05103;0.999533;0.999973;0.999966
1.0493;0.999545;0.999943;0.99997
1.04752;0.999556;0.999915;0.999974
1.04568;0.999567;0.999889;0.999978
1.0438;0.999578;0.999866;0.999982
1.04188;0.999589;0.999845;0.999986
1.03992;0.999599;0.999828;0.99999
1.03793;0.999609;0.999813;0.999993
1.03592;0.999619;0.999802;0.999997
1.03388;0.999629;0.999793;1
1.03182;0.999638;0.999788;1
1.02975;0.999648;0.999785;1.00001
1.02767;0.999657;0.999786;1.00001
1.02558;0.999665;0.999789;1.00001
1.02349;0.999674;0.999795;1.00001
1.02141;0.999682;0.999803;1.00002
1.01933;0.999691;0.999813;1.00002
1.01727;0.999699;0.999825;1.00002
1.01522;0.999706;0.999838;1.00002
1.01319;0.999714;0.999853;1.00002
1.01118;0.999722;0.999868;1.00002
1.00919;0.999729;0.999884;1.00002
1.00724;0.999736;0.999901;1.00002
1.00532;0.999743;0.999918;1.00003
1.00343;0.99975;0.999935;1.00003
1.00158;0.999756;0.999952;1.00003
0.999773;0.999763;0.999969;1.00003
0.998008;0.999769;0.999985;1.00003
0.996289;0.999775;1;1.00003
0.994617;0.999781;1.00002;1.00003
0.992996;0.999787;1.00003;1.00003
0.991427;0.999793;1.00004;1.00003
0.989912;0.999799;1.00006;1.00003
0.988453;0.999804;1.00007;1.00003
0.98705;0.999809;1.00008;1.00003
0.985707;0.999815;1.00009;1.00003
0.984423;0.99982;1.00009;1.00002
0.983201;0.999825;1.0001;1.00002
0.98204;0.999829;1.00011;1.00002
0.980942;0.999834;1.00011;1.00002
0.979908;0.999839;1.00011;1.00002
0.978937;0.999843;1.00011;1.00002
0.978031;0.999848;1.00011;1.00002
0.977189;0.999852;1.00011;1.00002
0.976412;0.999856;1.00011;1.00002
0.9757;0.99986;1.00011;1.00002
0.975052;0.999864;1.0001;1.00002
0.974469;0.999868;1.0001;1.00002
0.97395;0.999871;1.00009;1.00001
0.973494;0.999875;1.00009;1.00001
0.973101;0.999879;1.00008;1.00001
0.97277;0.999882;1.00008;1.00001
0.9725;0.999886;1.00007;1.00001
0.97229;0.999889;1.00006;1.00001
0.97214;0.999892;1.00005;1.00001
0.972049;0.999895;1.00005;1.00001
0.972014;0.999898;1.00004;1.00001
0.972035;0.999901;1.00003;1.00001
0.97211;0.999904;1.00003;1.00001
0.972239;0.999907;1.00002;1
0.972419;0.99991;1.00001;1
0.972648;0.999912;1.00001;1
0.972926;0.999915;1;1
0.973251;0.999918;0.999994;1
0.97362;0.99992;0.999989;1
0.974032;0.999922;0.999984;1
0.974486;0.999925;0.99998;1
0.974979;0.999927;0.999976;1
0.975509;0.999929;0.999973;1
0.976075;0.999932;0.99997;1
0.976674;0.999934;0.999967;0.999999
0.977305;0.999936;0.999965;0.999999
0.977966;0.999938;0.999964;0.999999
0.978654;0.99994;0.999963;0.999999
0.979368;0.999942;0.999963;0.999998
0.980105;0.999944;0.999963;0.999998
0.980864;0.999945;0.999963;0.999998
