P;PID;FLC;FLC3
0.11237;0.0078051;0.00530763;0.00328623
0.118219;0.00759933;0.0047602;0.00323948
0.123698;0.00739309;0.00419074;0.00317453
0.128804;0.00718713;0.00360671;0.00309323
0.133537;0.00698217;0.00301511;0.00299737
0.137895;0.00677889;0.00242247;0.00288871
0.141879;0.00657791;0.00183484;0.00276893
0.145491;0.0063798;0.00125778;0.00263969
0.148731;0.00618509;0.000696315;0.00250253
0.151602;0.00599425;0.00015499;0.00235897
0.154108;0.00580768;-0.000362179;0.00221042
0.156253;0.00562575;-0.000851678;0.00205822
0.158039;0.00544875;-0.0013105;0.00190365
0.159473;0.00527694;-0.00173596;0.00174787
0.16056;0.00511051;-0.00212569;0.00159199
0.161306;0.00494961;-0.0024776;0.00143702
0.161718;0.00479434;-0.00278997;0.0012839
0.161803;0.00464476;-0.00306141;0.00113346
0.161568;0.00450088;-0.00329092;0.000986486
0.161022;0.00436268;-0.00347785;0.000843655
0.160172;0.0042301;-0.00362194;0.000705576
0.159028;0.00410307;-0.00372329;0.000572783
0.1576;0.00398146;-0.00378257;0.000445734
0.155895;0.00386512;-0.00380117;0.000324817
0.153925;0.00375391;-0.00378111;0.000210351
0.1517;0.00364765;-0.00372499;0.000102591
0.149229;0.00354613;-0.00363585;1.73078e-006
0.146525;0.00344915;-0.00351699;-9.20947e-005
0.143596;0.00335651;-0.00337171;-0.000178805
0.140455;0.00326798;-0.00320331;-0.00025837
0.137113;0.00318334;-0.00301506;-0.000330841
0.133581;0.00310236;-0.00281017;-0.000396338
0.129871;0.00302481;-0.00259174;-0.000455041
0.125993;0.00295049;-0.00236278;-0.000507181
0.12196;0.00287918;-0.00212616;-0.000553028
0.117784;0.00281065;-0.00188462;-0.000592887
0.113475;0.00274471;-0.00164074;-0.00062709
0.109045;0.00268117;-0.00139694;-0.000655984
0.104506;0.00261983;-0.00115545;-0.000679934
0.09987;0.00256053;-0.000918343;-0.000699283
0.0951475;0.0025031;-0.000687492;-0.000714342
0.0903502;0.00244738;-0.000464588;-0.00072539
0.0854892;0.00239323;-0.000251132;-0.000732683
0.0805755;0.00234052;-4.84374e-005;-0.000736452
0.0756202;0.00228912;0.00014237;-0.000736911
0.0706338;0.00223894;0.000320348;-0.000734258
0.0656269;0.00218987;0.000484733;-0.000728677
0.0606098;0.00214182;0.000634795;-0.000720343
0.0555926;0.00209471;0.000769815;-0.000709434
0.0505852;0.00204848;0.000889115;-0.000696137
0.0455971;0.00200307;0.000992081;-0.000680644
0.0406378;0.00195843;0.00107819;-0.000663147
0.0357161;0.00191451;0.00114702;-0.000643845
0.030841;0.00187129;0.00119829;-0.000622931
0.0260209;0.00182873;0.00123184;-0.000600603
0.0212638;0.00178681;0.00124768;-0.00057705
0.0165778;0.00174552;0.00124633;-0.000552462
0.0119702;0.00170484;0.00122872;-0.000527022
0.00744832;0.00166477;0.00119618;-0.000500908
0.00301895;0.0016253;0.00115032;-0.000474289
-0.0013114;0.00158644;0.00109274;-0.000447331
-0.00553657;0.00154818;0.00102502;-0.000420189
-0.00965077;0.00151054;0.000948716;-0.000393009
-0.0136486;0.00147352;0.000865317;-0.000365932
-0.0175248;0.00143712;0.000776269;-0.000339086
-0.0212748;0.00140135;0.000682953;-0.000312592
-0.0248943;0.00136623;0.000586679;-0.00028656
-0.0283791;0.00133176;0.000488683;-0.000261091
-0.0317256;0.00129794;0.00039012;-0.000236278
-0.0349306;0.0012648;0.000292059;-0.000212202
-0.037991;0.00123233;0.000195484;-0.000188936
-0.0409044;0.00120054;0.00010129;-0.000166544
-0.0436685;0.00116943;1.028e-005;-0.000145081
-0.0462814;0.00113902;-7.68321e-005;-0.000124593
-0.0487415;0.00110929;-0.000159423;-0.000105117
-0.0510477;0.00108026;-0.000236959;-8.66836e-005
-0.053199;0.00105193;-0.000308954;-6.93135e-005
-0.0551949;0.00102429;-0.000374973;-5.30218e-005
-0.0570352;0.000997331;-0.000434634;-3.7816e-005
-0.05872;0.000971061;-0.000487613;-2.36974e-005
-0.0602496;0.000945471;-0.000533649;-1.0661e-005
-0.0616247;0.000920553;-0.000572542;1.30384e-006
-0.0628462;0.000896299;-0.000604161;1.22127e-005
-0.0639155;0.0008727;-0.000628437;2.20862e-005
-0.0648339;0.000849745;-0.000645369;3.09487e-005
-0.0656034;0.000827422;-0.000655066;3.88257e-005
-0.0662258;0.00080572;-0.000657763;4.57432e-005
-0.0667035;0.000784625;-0.000653813;5.17275e-005
-0.067039;0.000764124;-0.000643665;5.68056e-005
-0.0672349;0.000744202;-0.000627854;6.10045e-005
-0.0672942;0.000724844;-0.000606946;6.43515e-005
-0.0672201;0.000706036;-0.000581511;6.68745e-005
-0.0670157;0.000687761;-0.00055212;6.86015e-005
-0.0666847;0.000670004;-0.000519333;6.95675e-005
-0.0662306;0.00065275;-0.000483704;6.98178e-005
-0.0656572;0.000635981;-0.000445768;6.94057e-005
-0.0649686;0.000619683;-0.000406045;6.83897e-005
-0.0641688;0.000603841;-0.000365031;6.68317e-005
-0.063262;0.000588437;-0.000323199;6.47926e-005
-0.0622525;0.000573459;-0.000280994;6.23309e-005
-0.0611447;0.000558889;-0.000238835;5.95032e-005
-0.0599431;0.000544715;-0.000197108;5.63633e-005
-0.0586524;0.000530922;-0.000156168;5.29624e-005
-0.0572771;0.000517496;-0.00011634;4.93492e-005
-0.055822;0.000504424;-7.7913e-005;4.55693e-005
-0.0542918;0.000491694;-4.1145e-005;4.16658e-005
-0.0526913;0.000479293;-6.26044e-006;3.76788e-005
-0.0510252;0.000467209;2.6549e-005;3.36456e-005
-0.0492985;0.000455432;5.71237e-005;2.96006e-005
-0.047516;0.00044395;8.53351e-005;2.55754e-005
-0.0456824;0.000432754;0.000111058;2.15989e-005
-0.0438026;0.000421833;0.00013417;1.7697e-005
-0.0418814;0.00041118;0.000154553;1.38932e-005
-0.0399234;0.000400784;0.000172104;1.02081e-005
-0.0379335;0.000390638;0.000186733;6.66017e-006
-0.0359163;0.000380734;0.000198369;3.26504e-006
-0.0338764;0.000371064;0.000206961;3.62047e-008
-0.0318183;0.000361623;0.000212486;-3.01512e-006
-0.0297466;0.000352403;0.000214953;-5.87985e-006
-0.0276655;0.000343398;0.000214454;-8.55091e-006
-0.0255795;0.000334603;0.000211159;-1.10242e-005
-0.0234926;0.000326012;0.000205303;-1.32982e-005
-0.0214091;0.000317619;0.000197166;-1.53739e-005
-0.019333;0.000309421;0.000187025;-1.7254e-005
-0.017268;0.000301413;0.000175155;-1.89432e-005
-0.0152182;0.000293589;0.000161822;-2.04475e-005
-0.013187;0.000285947;0.000147286;-2.17742e-005
-0.011178;0.000278481;0.000131796;-2.29317e-005
-0.00919473;0.000271189;0.00011559;-2.39288e-005
-0.00724038;0.000264066;9.88945e-005;-2.47753e-005
-0.00531813;0.00025711;8.19229e-005;-2.54796e-005
