P;PID;FLC;FLC3
0.0926292;0.00250922;0.00120555;0.00714116
0.0995707;0.0021309;-0.0016076;0.00591678
0.106152;0.00178116;-0.00422582;0.00495764
0.11237;0.00146067;-0.00664604;0.00436579
0.118219;0.00116972;-0.0088623;0.0037891
0.123698;0.000908266;-0.01087;0.00323222
0.128804;0.000675941;-0.0126657;0.0026971
0.133537;0.000472106;-0.0142476;0.00218542
0.137895;0.000295879;-0.0156149;0.00169857
0.141879;0.000146171;-0.0167686;0.00123767
0.145491;2.17142e-005;-0.0177108;0.000803607
0.148731;-7.89034e-005;-0.0184453;0.000397017
0.151602;-0.00015721;-0.0189772;1.83256e-005
0.154108;-0.000214823;-0.020006;-0.000332496
0.156253;-0.000253419;-0.0210828;-0.00065564
0.158039;-0.000274714;-0.0219178;-0.000951129
0.159473;-0.000280437;-0.0225141;-0.00121916
0.16056;-0.000272315;-0.0228747;-0.00146007
0.161306;-0.000252049;-0.0230042;-0.00167435
0.161718;-0.000221299;-0.0229089;-0.00186263
0.161803;-0.000181674;-0.022597;-0.00202564
0.161568;-0.000134714;-0.022078;-0.00216421
0.161022;-8.18838e-005;-0.0205208;-0.00227929
0.160172;-2.45639e-005;-0.0179165;-0.00237186
0.159028;3.59582e-005;-0.0152022;-0.00244303
0.1576;9.84911e-005;-0.012417;-0.0024939
0.155895;0.000161944;-0.00961407;-0.00252566
0.153925;0.000225327;-0.00752827;-0.00253952
0.1517;0.000287755;-0.0060957;-0.00253671
0.149229;0.000348444;-0.004713;-0.00251847
0.146525;0.000406711;-0.00339333;-0.00234485
0.143596;0.000461971;-0.00214262;-0.00216662
0.140455;0.000513735;-0.000965759;-0.00198771
0.137113;0.000561604;0.000133478;-0.00181014
0.133581;0.000605266;0.00115621;-0.00163565
0.129871;0.00064449;0.00210179;-0.00146572
0.125993;0.000679119;0.00296748;-0.0013016
0.12196;0.000709069;0.00375128;-0.00114433
0.117784;0.000734315;0.00445195;-0.000994729
0.113475;0.000754895;0.00506894;-0.00095725
0.109045;0.000770895;0.00560237;-0.0010014
0.104506;0.000782448;0.006053;-0.001038
0.09987;0.000789724;0.00642223;-0.00106758
0.0951475;0.00079293;0.006712;-0.00109059
0.0903502;0.000792299;0.00692482;-0.00110748
0.0854892;0.000788086;0.00706368;-0.00111863
0.0805755;0.000780565;0.00713203;-0.00112439
0.0756202;0.000770021;0.00774127;-0.00112509
0.0706338;0.000756748;0.0084386;-0.00105474
0.0656269;0.000741044;0.00901909;-0.000973063
0.0606098;0.000723207;0.00947978;-0.000891532
0.0555926;0.000703534;0.00981692;-0.000810565
0.0505852;0.000682312;0.010028;-0.000730617
0.0455971;0.000659823;0.0101118;-0.000652105
0.0406378;0.000636335;0.0100684;-0.000575404
0.0357161;0.000612105;0.00980627;-0.000500852
0.030841;0.000587376;0.00806538;-0.000428746
0.0260209;0.000562372;0.00626277;-0.000359349
0.0212638;0.000537303;0.00441619;-0.000292885
0.0165778;0.000512362;0.00267454;-0.000229545
0.0119702;0.00048772;0.00205175;-0.000169486
0.00744832;0.000463535;0.00144591;-0.000112833
0.00301895;0.000439942;0.000870721;-5.96818e-005
-0.0013114;0.000417062;0.000328779;-1.00978e-005
-0.00553657;0.000394996;-0.000177848;3.58816e-005
-0.00965077;0.000373829;-0.000648476;7.8247e-005
-0.0136486;0.00035363;-0.00108183;0.000117005
-0.0175248;0.000334451;-0.00147673;0.000152184
-0.0212748;0.000316331;-0.00183236;0.000183832
-0.0248943;0.000299295;-0.0021483;0.000212016
-0.0283791;0.000283355;-0.00242447;0.000236817
-0.0317256;0.000268511;-0.00266112;0.000258333
-0.0349306;0.000254754;-0.00285882;0.000276675
-0.037991;0.000242065;-0.00301844;0.000291963
-0.0409044;0.000230416;-0.00314111;0.00030433
-0.0436685;0.000219772;-0.00322818;0.000313915
-0.0462814;0.000210092;-0.00344558;0.000320865
-0.0487415;0.000201331;-0.00364283;0.000325331
-0.0510477;0.000193439;-0.00379888;0.000327469
-0.053199;0.000186361;-0.00391346;0.000327438
-0.0551949;0.000180043;-0.00398651;0.000325399
-0.0570352;0.000174427;-0.00401838;0.000321512
-0.05872;0.000169455;-0.0040098;0.000315938
-0.0602496;0.000165068;-0.00396185;0.000308836
-0.0616247;0.00016121;-0.00387598;0.000301696
-0.0628462;0.000157823;-0.00356619;0.000304848
