
 Generation    Best        Average       Standard 
 number        value       fitness       deviation 
  128       0.002433400   8.995055937   15.147921850 
  129       0.002433400   6.086611460   11.494917258 
  130       0.002433400   5.470263850   10.948923177 
  131       0.002433400   4.723399918   7.763957953 
  132       0.002433400   5.249589322   8.094093138 
  133       0.002433400   6.047003562   10.251231034 
  134       0.002433400   3.677271070   9.005129707 
  135       0.002433400   2.927445350   2.387456755 
  136       0.002433400   3.746990722   6.867706968 
  137       0.002433400   4.002957371   4.896283502 
  138       0.002433400   4.156892360   4.657477967 
  139       0.002433400   6.449471210   11.343846103 
  140       0.002433400   9.251027470   10.924653207 
  141       0.002433400   8.445689135   10.174420137 
  142       0.002433400   10.478074188   15.752011307 
  143       0.002433400   5.265194139   6.643866896 
  144       0.002433400   8.115388219   8.099112042 
  145       0.002433400   9.225721473   10.513731533 
  146       0.002433400   12.813616357   13.000319878 
  147       0.002433400   10.787006537   11.692342872 
  148       0.002433400   8.279811953   8.817124797 
  149       0.002433400   8.187283383   10.343632215 
  150       0.002433400   6.172522990   6.807411713 
  151       0.002433400   7.694941769   11.389762180 
  152       0.002433400   11.235328026   15.424820510 
  153       0.002433400   10.521088303   13.496948121 
  154       0.002433400   9.935241612   10.882876813 
  155       0.002433400   7.198619281   13.391508003 
  156       0.002433400   4.915965486   5.310800691 
  157       0.002433400   6.125427814   12.213969695 
  158       0.002433400   7.922690270   14.855181087 
  159       0.002433400   5.963160246   6.324334603 
  160       0.002433400   7.470837759   10.640336754 
  161       0.002433400   9.936511766   15.446523258 
  162       0.002336556   7.886910821   10.508176789 
  163       0.002336556   4.591606988   4.718756786 
  164       0.002336556   5.326922360   5.923271030 
  165       0.002336556   4.241899679   5.555508961 
  166       0.002336556   6.580058679   10.729750929 
  167       0.002336556   5.802140972   8.787294585 
  168       0.002336556   4.215838442   5.569899468 
  169       0.002336556   5.597022817   6.646561385 
  170       0.002336556   3.313239818   4.787213749 
  171       0.002336556   4.367571504   7.210013536 
  172       0.002336556   3.933571298   8.786225725 
  173       0.002336556   5.611792430   13.521741093 
  174       0.002336556   4.904429388   12.975115223 
  175       0.002336556   3.238112332   9.094910860 
  176       0.002336556   4.141892533   8.160408437 
  177       0.002336556   2.822788884   5.702502007 
  178       0.002336556   4.803125653   7.412343467 
  179       0.002336556   5.167674079   10.438767705 
  180       0.002336556   6.364606679   10.063933602 
  181       0.002336556   8.676269702   13.035184483 
  182       0.002336556   7.100477765   10.924896357 
  183       0.002336556   8.546777872   12.382770062 
  184       0.000342860   4.473589608   9.868518199 
  185       0.000303092   4.993215671   9.490347637 
  186       0.000303092   4.156395892   8.211634315 
  187       0.000303092   6.068832033   10.170014766 
  188       0.000303092   12.555709194   16.028263203 
  189       0.000303092   9.006327547   11.296427441 
  190       0.000303092   6.226776457   9.544950268 
  191       0.000091812   6.315602608   8.193048138 
  192       0.000091812   8.044756959   11.796862520 
  193       0.000091812   6.419678798   8.639628995 
  194       0.000091812   12.189275554   14.231051226 
  195       0.000091812   9.301008382   11.714347523 
  196       0.000091812   11.831063213   13.058666031 
  197       0.000091812   10.453730934   11.833374201 
  198       0.000091812   9.498707901   9.873247192 
  199       0.000091812   8.593409107   11.830639815 
  200       0.000091812   8.427622280   9.935605637 
  201       0.000091812   10.404267450   10.280156151 
  202       0.000091812   8.002436014   7.771157420 
